content,stopwords_removal,score,category
aplikasinya sangat bagus sistemnya cepat,"['aplikasinya', 'bagus', 'sistemnya', 'cepat']",5,positive
disuruh pabrik untuk ganti ke wonder katanya apk bnimobile bangking mau di hps tpi kenapa tidak ada fitur tarik tunai tanpa kartu dan masih ada kekurangan lainnya tolong dong ini perbaiki,"['disuruh', 'pabrik', 'ganti', 'wonder', 'apk', 'bnimobile', 'bangking', 'hps', 'fitur', 'tarik', 'tunai', 'kartu', 'kekurangan', 'tolong', 'perbaiki']",3,neutral
seriusan wondr di hp saya kenapa ketika dibuka selalu ada sedikit kendala tim kami lagi perbaiki yuk coba lagi terus nyebelin bngt,"['seriusan', 'wondr', 'hp', 'dibuka', 'kendala', 'tim', 'perbaiki', 'yuk', 'coba', 'nyebelin']",3,neutral
kayanya blum optimal ini wondr keseringan perbaikan ssah buka klo lagi di tol mau transaksi cepet trus lama lagi perbaikan nya nanti klo udah optimal baru ksih bintang,"['kayanya', 'blum', 'optimal', 'wondr', 'keseringan', 'perbaikan', 'ssah', 'buka', 'transaksi', 'cepet', 'trus', 'perbaikan', 'udah', 'optimal', 'ksih', 'bintang']",3,neutral
bagus cepat efisien dan aman,"['bagus', 'cepat', 'efisien', 'aman']",5,positive
sering close dan minta daftar ulang di perbaiki lagi bug min tq,"['close', 'daftar', 'ulang', 'perbaiki', 'bug', 'min', 'tq']",3,neutral
lebih simpel dan makin sat set love deh,"['simpel', 'sat', 'set', 'love']",5,positive
kemarin proses aktivasi dan berhasil sayangnya hari ini saya mencoba buka aplikasi tiba muncul halaman syarat dan ketentuan pengguna coba untuk di centang semua lalu klik saya setuju muncul notif sesi login habis lalu saya klik oke buat log in ulang akan tetapi diarahkan ke halaman yg sama halaman syarat dan ketentuan dan ini berulang terus mohon untuk ditingkatkan lagi aplikasinya edit sudah mulai bisa log in thankyu,"['kemarin', 'proses', 'aktivasi', 'berhasil', 'sayangnya', 'mencoba', 'buka', 'aplikasi', 'muncul', 'halaman', 'syarat', 'ketentuan', 'pengguna', 'coba', 'centang', 'klik', 'setuju', 'muncul', 'notif', 'sesi', 'login', 'habis', 'klik', 'oke', 'log', 'in', 'ulang', 'diarahkan', 'halaman', 'halaman', 'syarat', 'ketentuan', 'berulang', 'mohon', 'ditingkatkan', 'aplikasinya', 'edit', 'log', 'in', 'thankyu']",5,positive
aplikasi nya enak smooth cuma masih belum lengkap kalo bisa dilengkapi kayak bni mobile banking seperti fitur mobile tunai dll kalo misal lengkap lebih milih pake wondr drpd yg lama,"['aplikasi', 'enak', 'smooth', 'lengkap', 'kalo', 'dilengkapi', 'kayak', 'bni', 'mobile', 'banking', 'fitur', 'mobile', 'tunai', 'dll', 'kalo', 'lengkap', 'milih', 'pake', 'wondr', 'drpd']",3,neutral
gimana nih saya isi token gagal tapi saldo saya sudah dipotong saya udah nunggu hampir x jam gak ada pengembalian saldo yg terpotong mau nanya tentang masalah ini di bagian customer service aplikasinya malah gak ada penyelesaian chat langsung di aplikasi mobile bni nya juga gak nyambung jawabnya saya sebagai pelanggan harus apa,"['gimana', 'nih', 'isi', 'token', 'gagal', 'saldo', 'dipotong', 'udah', 'nunggu', 'x', 'jam', 'gak', 'pengembalian', 'saldo', 'terpotong', 'nanya', 'customer', 'service', 'aplikasinya', 'gak', 'penyelesaian', 'chat', 'langsung', 'aplikasi', 'mobile', 'bni', 'gak', 'nyambung', 'pelanggan']",5,positive
bikin pasword dengan special karaktet tapi saat diketik tanda tanda dan beberapa tanda lainnya kaga nongol app macem apaan,"['bikin', 'pasword', 'special', 'karaktet', 'diketik', 'tanda', 'tanda', 'tanda', 'kaga', 'nongol', 'app', 'macem']",1,negative
aplikasi ini memudahkan saya untuk bertransaksi dimanapun dan kapanpun dari tampilannya mudah dipahami untuk ewallet bisa terhubung langsungselain itu banyak diskon di tempat makan yang biasa saya kunjungi,"['aplikasi', 'memudahkan', 'bertransaksi', 'dimanapun', 'tampilannya', 'mudah', 'dipahami', 'ewallet', 'terhubung', 'langsungselain', 'diskon', 'makan', 'kunjungi']",5,positive
sudah downlod tapi susah amat verifikasi wajah gagal terus padhal tak tak ikuti panduannya sampe skrg belum bisa masuk,"['downlod', 'susah', 'verifikasi', 'wajah', 'gagal', 'padhal', 'ikuti', 'panduannya', 'sampe', 'skrg', 'masuk']",3,neutral
saya sangat suka antarmuka pengguna ui aplikasi wondr oleh bni desainnya bersih dan mudah dipahami jadi saya bisa dengan cepat menemukan apa yang saya butuhkan navigasinya lancar warna dan teksnya nyaman di mata dan aplikasi ini sangat responsif pengalaman pengguna sangat menyenangkan,"['suka', 'antarmuka', 'pengguna', 'ui', 'aplikasi', 'wondr', 'bni', 'desainnya', 'bersih', 'mudah', 'dipahami', 'cepat', 'menemukan', 'butuhkan', 'navigasinya', 'lancar', 'warna', 'teksnya', 'nyaman', 'mata', 'aplikasi', 'responsif', 'pengalaman', 'pengguna', 'menyenangkan']",5,positive
kenapa akhir ini maintance mulu,"['maintance', 'mulu']",1,negative
ini gimna ini login ampe setengah jam gabisa stak di logo wonder nya bukan skli kali ini ku hapus nyari sinyal bagus udh ku logout ttep aja kaya gtu mulu gimna tolong di perbaiki,"['gimna', 'login', 'ampe', 'jam', 'gabisa', 'stak', 'logo', 'wonder', 'skli', 'kali', 'ku', 'hapus', 'nyari', 'sinyal', 'bagus', 'udh', 'ku', 'logout', 'ttep', 'kaya', 'mulu', 'gimna', 'tolong', 'perbaiki']",3,neutral
haloo ka kenapa pas saya mau daftar buat log in di wondr tidak ada verifikasi wajah ya yang tertera malah verifikasi kartu saya sudah coba berkali kali tapi masih gabisa punya teman saya ada tampilan verifikasi wajahnya tapi yang punya saya kenapa tidak ada jadinya tidak bisa melanjutkan untuk pendaftaran nya,"['haloo', 'daftar', 'log', 'in', 'wondr', 'verifikasi', 'wajah', 'tertera', 'verifikasi', 'kartu', 'coba', 'berkali', 'kali', 'gabisa', 'teman', 'tampilan', 'verifikasi', 'wajahnya', 'melanjutkan', 'pendaftaran']",2,negative
sangat mudah menggunakan wondr by bni kapanpun dan dimanapun bisa bayar apa saja oke,"['mudah', 'wondr', 'by', 'bni', 'dimanapun', 'bayar', 'oke']",5,positive
belakangan ini buka aplikasi wonder butuh kesabaran besarkalah sama bank himbara lain yang begitu dibuka langsung masuk ke aplikasi nah wonder mutermuter dan sampai akhirnya maaf sedang dalam perbaikan selalu seperti itu tolong diperbaiki minkita pengguna tetap merasa terganggu dengan hal seperti ini,"['buka', 'aplikasi', 'wonder', 'butuh', 'kesabaran', 'besarkalah', 'bank', 'himbara', 'dibuka', 'langsung', 'masuk', 'aplikasi', 'wonder', 'mutermuter', 'maaf', 'perbaikan', 'tolong', 'diperbaiki', 'minkita', 'pengguna', 'terganggu']",2,negative
aplikasi apaapaan ini sangat konyolbaru pertama kali memakai bni dan mendownload wondr dan tidak bisa login,"['aplikasi', 'apaapaan', 'konyolbaru', 'kali', 'memakai', 'bni', 'mendownload', 'wondr', 'login']",1,negative
gimana ini aplikasinya eror mau transfer ga bisa terus udah beberapa hari katanya sedang diperbaiki semoga cepat terselesaikan masalahnya soalnya saya jadi repot kudu ke alfa,"['gimana', 'aplikasinya', 'eror', 'transfer', 'udah', 'diperbaiki', 'semoga', 'cepat', 'terselesaikan', 'repot', 'kudu', 'alfa']",4,positive
banyak fitur yang didapatkan tapi tolong kembalikan menu pembayaran pendidikan dan semua universitas yang terhubung saat ini menu pembayaran hanya tersedia unuk universitas indonesia,"['fitur', 'didapatkan', 'tolong', 'kembalikan', 'menu', 'pembayaran', 'pendidikan', 'universitas', 'terhubung', 'menu', 'pembayaran', 'tersedia', 'unuk', 'universitas', 'indonesia']",3,neutral
aplikasi gabisa log in sedari malam perbaikan sistem terus sekiranya kalo belum siap mending pake apps yg lama aja lebih nyaman,"['aplikasi', 'gabisa', 'log', 'in', 'sedari', 'malam', 'perbaikan', 'sistem', 'kalo', 'mending', 'pake', 'apps', 'nyaman']",1,negative
aplikasi nya akhir ini ga bisa di buka padahal udah uninstal terus di instalasi lagi tetep lama ke buka nya,"['aplikasi', 'buka', 'udah', 'uninstal', 'instalasi', 'tetep', 'buka']",3,neutral
mohon developer untuk fiturnya lebih terperinci mengenai riwayat dana masuk maupun keluar terutama dana yg keluar bisa di sharedownload kemudian ada notif masuk dgn nominal dari nol sampai tak terhingga mohon untuk modern tapi simpel segera di followup tks,"['mohon', 'developer', 'fiturnya', 'terperinci', 'riwayat', 'dana', 'masuk', 'dana', 'sharedownload', 'notif', 'masuk', 'dgn', 'nominal', 'nol', 'terhingga', 'mohon', 'modern', 'simpel', 'followup', 'tks']",3,neutral
min kenapa saya gak bisa jadikan kartu kredit sbg sumber dana ya dari bbrpa informasi yg saya dpt di google n youtube kartu kredit kita otomatis terdaftar di wondr karna nik tp kok saya ga ada ya cm ada rekening debit mau daftarin manual ga ada fitur my credit card sperti di bni mbanking mohon bantuan nya gmna cara menautkan credit card kita di app wondr thx,"['min', 'gak', 'jadikan', 'kartu', 'kredit', 'sbg', 'sumber', 'dana', 'bbrpa', 'informasi', 'dpt', 'google', 'youtube', 'kartu', 'kredit', 'otomatis', 'terdaftar', 'wondr', 'karna', 'nik', 'cm', 'rekening', 'debit', 'daftarin', 'manual', 'fitur', 'my', 'credit', 'card', 'sperti', 'bni', 'mbanking', 'mohon', 'bantuan', 'gmna', 'menautkan', 'credit', 'card', 'app', 'wondr', 'thx']",3,neutral
gak ada pilihan login buat yg udah terdaftar,"['gak', 'pilihan', 'login', 'udah', 'terdaftar']",4,positive
aplikasi sudah lengkap dan bagus tetapi ada satu kendala pada mobile tunai yg tidak mengirimkan kode otp nya sehingga tidak bisa ambil tanpa kartu saran untuk di perbaiki kendala tersebut selebihnya bagus,"['aplikasi', 'lengkap', 'bagus', 'kendala', 'mobile', 'tunai', 'mengirimkan', 'kode', 'otp', 'ambil', 'kartu', 'saran', 'perbaiki', 'kendala', 'selebihnya', 'bagus']",5,positive
saya tidak suka dengan apk wonder ini saya lebih suka apk bni ebangking pake wonder gak jelas gak ada transaksi bekasnya gak kaya yang dulu ada korannya kumplit lebih baik balik lgi ke apk yang dulu malah lebih simple yang dulu ketimbang wonderr,"['suka', 'apk', 'wonder', 'suka', 'apk', 'bni', 'ebangking', 'pake', 'wonder', 'gak', 'gak', 'transaksi', 'bekasnya', 'gak', 'kaya', 'korannya', 'kumplit', 'apk', 'simple', 'ketimbang', 'wonderr']",1,negative
untuk riwayat transaksi kurang terupdate tolong segera diperbaiki,"['riwayat', 'transaksi', 'terupdate', 'tolong', 'diperbaiki']",3,neutral
menurutku ini blm baguslebih bagus yg dulumau transfer ke dana jta bagaimna cobalimit hari jta itupun cma bsa transfer repot,"['menurutku', 'blm', 'baguslebih', 'bagus', 'dulumau', 'transfer', 'dana', 'jta', 'bagaimna', 'cobalimit', 'jta', 'itupun', 'cma', 'bsa', 'transfer', 'repot']",4,positive
eror dah ini aplikasi udah registrasi udah berhasil mau login tapi diarahin ke syarat dan ketentuan trs tapi pas diklik tulisannya sudah aktivasi tinggal login tp gajelas diarahinnya ke syarat dan ketentuan mulu gabisa klik apa,"['eror', 'dah', 'aplikasi', 'udah', 'registrasi', 'udah', 'berhasil', 'login', 'diarahin', 'syarat', 'ketentuan', 'trs', 'diklik', 'tulisannya', 'aktivasi', 'tinggal', 'login', 'gajelas', 'diarahinnya', 'syarat', 'ketentuan', 'mulu', 'gabisa', 'klik']",1,negative
mudah praktis tampilannya menarik dan user friendly,"['mudah', 'praktis', 'tampilannya', 'menarik', 'user', 'friendly']",5,positive
kenapa wonder hnya bisa dibuka pakai wifi ga mungkin juga kan kita selalu pakai paket internet dengan no yg terdaftar di bni mohon solusinya,"['wonder', 'hnya', 'dibuka', 'pakai', 'wifi', 'pakai', 'paket', 'internet', 'no', 'terdaftar', 'bni', 'mohon', 'solusinya']",1,negative
sangat membantu sekali dalam pembayaran transfer dan menyimpan uang di bank,"['membantu', 'pembayaran', 'transfer', 'menyimpan', 'uang', 'bank']",5,positive
baik mudah di gunakan mempermudah segala transaksi,"['mudah', 'mempermudah', 'transaksi']",5,positive
aplikasi apalagi ini bni yang resmi aplikasi bni yang mana jangan terus bikin rumit yang tua rakyat ga semua muda jangan bikin susah rakyat aplikasi terus makin banyak ga jelas,"['aplikasi', 'bni', 'resmi', 'aplikasi', 'bni', 'bikin', 'rumit', 'tua', 'rakyat', 'muda', 'bikin', 'susah', 'rakyat', 'aplikasi']",1,negative
belum ada menu transaksi setor tunai tanpa kartu kiranya bisa segera ditambahkan menu tersebut terimakasih,"['menu', 'transaksi', 'setor', 'tunai', 'kartu', 'menu', 'terimakasih']",3,neutral
aplikasi keuangan tersampah menurutku susah login,"['aplikasi', 'keuangan', 'tersampah', 'menurutku', 'susah', 'login']",1,negative
agak lemot klo mau buka tolong diperbaiki,"['lemot', 'buka', 'tolong', 'diperbaiki']",5,positive
bni banking suka terkeluar terus akhir akhir ini jadi aku coba ganti ke wonder tapi baru sehari selalu aja ngelag ga mau masuk ke aplikasi nya,"['bni', 'banking', 'suka', 'terkeluar', 'coba', 'ganti', 'wonder', 'sehari', 'ngelag', 'masuk', 'aplikasi']",2,negative
mau verifikasi email gagal terus alasan salah kode yang dikirim padahal jelas jelas udah bener gatau kesalahan sistem atau gimana yang jelas mohon perbaikannya,"['verifikasi', 'email', 'gagal', 'alasan', 'salah', 'kode', 'dikirim', 'udah', 'bener', 'gatau', 'kesalahan', 'sistem', 'gimana', 'mohon', 'perbaikannya']",3,neutral
saya kasih bintang dulu dehnanti kalau sudah bagus saya kasih bintang kata nya aplikasi nya sangat mudahsaya melakukan pembayaran nontaglish ko tidak bisa ya susahaplikasi nya membingungkanharus update yg terbaru tp ko ngga adasaya kan perlu transaksi pln non taglishgmn sih bni ko sekarang susah yatidak segampang yg pertamamakasih,"['kasih', 'bintang', 'dehnanti', 'bagus', 'kasih', 'bintang', 'aplikasi', 'mudahsaya', 'pembayaran', 'nontaglish', 'ko', 'susahaplikasi', 'membingungkanharus', 'update', 'terbaru', 'ko', 'ngga', 'adasaya', 'transaksi', 'pln', 'non', 'taglishgmn', 'sih', 'bni', 'ko', 'susah', 'yatidak', 'segampang', 'pertamamakasih']",2,negative
mohon biaya transfer free seperti yg sebelah bisa,"['mohon', 'biaya', 'transfer', 'free', 'sebelah']",1,negative
kalo malam sering trobel tolong di perbaiki lagi ya makasih,"['kalo', 'malam', 'trobel', 'tolong', 'perbaiki', 'makasih']",2,negative
tampilan aplikasinya menarik dan step transaksi jadi lebih cepat mantap,"['tampilan', 'aplikasinya', 'menarik', 'step', 'transaksi', 'cepat', 'mantap']",5,positive
sampai tulisan ini dibuat belum ada kendala apapun saya sudah melakukan beberapa transaksi semuanya berjalan dengan lancar tanpa loading sedikitpun tinggal tambahkan fitur setortarikan tunai tanpa kartu di aplikasi plus tanpa permintaan kode otp lagi terimakasih bni,"['tulisan', 'kendala', 'apapun', 'transaksi', 'berjalan', 'lancar', 'loading', 'sedikitpun', 'tinggal', 'tambahkan', 'fitur', 'setortarikan', 'tunai', 'kartu', 'aplikasi', 'plus', 'permintaan', 'kode', 'otp', 'terimakasih', 'bni']",4,positive
coba diperbaiki kok mau kirim lewat va malah diarahin ke ewallet gimana sih,"['coba', 'diperbaiki', 'kirim', 'va', 'diarahin', 'ewallet', 'gimana', 'sih']",3,neutral
bagus dan sangat puas,"['bagus', 'puas']",5,positive
mantap tingkatkan kualitas dan berikan pelayanan terbaik bagi nasabah,"['mantap', 'tingkatkan', 'kualitas', 'pelayanan', 'terbaik', 'nasabah']",5,positive
admn besar banget setiap transaksi di batasi max jt,"['admn', 'banget', 'transaksi', 'batasi', 'max', 'jt']",1,negative
cepat dan mudah,"['cepat', 'mudah']",5,positive
cukup bagus tapi saat login tidak seperti bni mobile banking bisa login baik pakai sidik jari dan password kalo wondr harus pakai settingan dulu pakai sidik jari atau di non aktifin,"['bagus', 'login', 'bni', 'mobile', 'banking', 'login', 'pakai', 'sidik', 'jari', 'password', 'kalo', 'wondr', 'pakai', 'settingan', 'pakai', 'sidik', 'jari', 'non', 'aktifin']",3,neutral
beberapa fitur tidak bisa digunakan mau coba di bni mobile banking juga gak bisa log in muncul tulisan sedang meningkatkan layanan mobile banking kalau begini kayak mana jadinya duaduanya gk bisa padahal selama ini nyaman nyaman aja pakai bni mobile banking,"['fitur', 'coba', 'bni', 'mobile', 'banking', 'gak', 'log', 'in', 'muncul', 'tulisan', 'meningkatkan', 'layanan', 'mobile', 'banking', 'kayak', 'duaduanya', 'nyaman', 'nyaman', 'pakai', 'bni', 'mobile', 'banking']",1,negative
sangat amat membantu sekali semua jadi mudah dalam transaksi,"['membantu', 'mudah', 'transaksi']",5,positive
baru install aplikasi wondr by bni aktivasinya mudah dan cepat lalu saat coba melakukan transaksi juga lancar tampilan ui nya keren banget tidak membingungkan cari fitur ini itunya,"['install', 'aplikasi', 'wondr', 'by', 'bni', 'aktivasinya', 'mudah', 'cepat', 'coba', 'transaksi', 'lancar', 'tampilan', 'ui', 'keren', 'banget', 'membingungkan', 'cari', 'fitur', 'itunya']",5,positive
bagus lumayancuman sering byk perbaikan di setiap jam malam,"['bagus', 'lumayancuman', 'byk', 'perbaikan', 'jam', 'malam']",5,positive
login tidak bisa padahal penting,['login'],1,negative
sangatt simple dan baguuss pokonya top markotop,"['sangatt', 'simple', 'baguuss', 'pokonya', 'top', 'markotop']",5,positive
mungkin bsa d tambahkan menu untuk bsa tarik tunai dan setor tunai tanpa menggunakan atm untuk lbih mmpermudah konsumen,"['bsa', 'tambahkan', 'menu', 'bsa', 'tarik', 'tunai', 'setor', 'tunai', 'atm', 'lbih', 'mmpermudah', 'konsumen']",3,neutral
semoga bermanfaat dan juga tidak ribet dan skor bintangnya menyusul disempurnakan dan harapan untuk bintangnya tidak menyusut ke bintang satu,"['semoga', 'bermanfaat', 'ribet', 'skor', 'bintangnya', 'menyusul', 'disempurnakan', 'harapan', 'bintangnya', 'menyusut', 'bintang']",3,neutral
baru download tadi di bankdibank masih bisa dibukasampe dirumah dr siang tidak bisa dibukaada masalah dan perbaikan katanyasampe skrng masih nga bisacoba lagi coba lagi aja,"['download', 'bankdibank', 'dibukasampe', 'dirumah', 'siang', 'dibukaada', 'perbaikan', 'katanyasampe', 'skrng', 'nga', 'bisacoba', 'coba']",1,negative
ko wonder harus terusan minta diupdate yahh waktu pake mbanking ga pernah tuh minta update jadi susah kalo gini kan harus memori nya stabil bukan yang penuh truss kalo penus otomatis ga bis di update karn ga cukup ruang tolong improve,"['ko', 'wonder', 'terusan', 'diupdate', 'yahh', 'pake', 'mbanking', 'tuh', 'update', 'susah', 'kalo', 'gini', 'memori', 'stabil', 'penuh', 'truss', 'kalo', 'penus', 'otomatis', 'bis', 'update', 'karn', 'ruang', 'tolong', 'improve']",4,positive
dengan wondr transaksi menjadi sangat mudah dan cepat,"['wondr', 'transaksi', 'mudah', 'cepat']",5,positive
sangat membantu,['membantu'],5,positive
padahal tulisan gagal terkirim tapi saldo uangnya tetep ke potong udah ke kalinya uang saya hilang ga tahu kemana hilang sia sia,"['tulisan', 'gagal', 'terkirim', 'saldo', 'uangnya', 'tetep', 'potong', 'udah', 'kalinya', 'uang', 'hilang', 'kemana', 'hilang', 'sia', 'sia']",3,neutral
terbalik dan mudah pengoperasiannya,"['terbalik', 'mudah', 'pengoperasiannya']",5,positive
aplikasi bagus banyak promo mudah digunakan pokoknya mantap,"['aplikasi', 'bagus', 'promo', 'mudah', 'pokoknya', 'mantap']",5,positive
lebih suka bni mobile banking kenapa harus ganti seharusnya aplikasi yang lama diperbaiki wondr masih belum selengkap bni mobile banking untuk user friendly masih lebih baik bni mobile banking,"['suka', 'bni', 'mobile', 'banking', 'ganti', 'aplikasi', 'diperbaiki', 'wondr', 'selengkap', 'bni', 'mobile', 'banking', 'user', 'friendly', 'bni', 'mobile', 'banking']",1,negative
sangat baik dan mudah digunakan,['mudah'],4,positive
wonder bagus kencang untuk transaksi simpel,"['wonder', 'bagus', 'kencang', 'transaksi', 'simpel']",5,positive
ini knp ya setelah instal apk ini dn sudah daftar tpi ketika keluar apk semua data nya hilang harus masuk dri awal lgi,"['knp', 'instal', 'apk', 'daftar', 'apk', 'data', 'hilang', 'masuk', 'dri']",3,neutral
kenapa tiap transaksi kayak tarik tunai misalnya masih harus nunggu sms otp dulu pulsa ada pun otp kadang selisih jam baru diterima semoga bisa lebih baik seperti aplikasi banking yg lain,"['transaksi', 'kayak', 'tarik', 'tunai', 'nunggu', 'sms', 'otp', 'pulsa', 'otp', 'kadang', 'selisih', 'jam', 'diterima', 'semoga', 'aplikasi', 'banking']",1,negative
saya bingung ni saya sudah mengisi data email tapi sistemnya bilang maaf anda sudah merefikasi email melebihi kapasitas nanti kembali besok dan besoknya saya ulang mengisi email itu sama aja nanti kembali besok kirakira bagaimana ini,"['bingung', 'mengisi', 'data', 'email', 'sistemnya', 'bilang', 'maaf', 'merefikasi', 'email', 'melebihi', 'kapasitas', 'besok', 'besoknya', 'ulang', 'mengisi', 'email', 'besok', 'kirakira']",1,negative
berjalan lancar aplikasi nya,"['berjalan', 'lancar', 'aplikasi']",5,positive
kenapa kok punya saya gak bisa dibuka aplikasinya padahal sinyal full,"['gak', 'dibuka', 'aplikasinya', 'sinyal', 'full']",3,neutral
pake ikd ga bisa pas cba cara lg malah ga bisa verifikasi wajah udah berulang d coba malah d sruh bsok cba lg pda hal butuh setor tunai cepat,"['pake', 'ikd', 'cba', 'verifikasi', 'wajah', 'udah', 'berulang', 'coba', 'sruh', 'bsok', 'cba', 'pda', 'butuh', 'setor', 'tunai', 'cepat']",1,negative
kok detail kartunya segitu doank ya sisa tanggungan juga tidak tampil kayak di app bni sebelumya,"['detail', 'kartunya', 'segitu', 'doank', 'sisa', 'tanggungan', 'tampil', 'kayak', 'app', 'bni', 'sebelumya']",3,neutral
kenapa ya saya transfer di aplikasinya udah berhasil tapi kok belum juga masuk ke penerima nggak kayak aplikasi bni mobile yang dulu jadinya rugi saldo sudah kepotong tapi belum juga masuk ke penerima,"['transfer', 'aplikasinya', 'udah', 'berhasil', 'masuk', 'penerima', 'nggak', 'kayak', 'aplikasi', 'bni', 'mobile', 'rugi', 'saldo', 'kepotong', 'masuk', 'penerima']",3,neutral
sangat memuaskan pertahankan dan tingkatkan,"['memuaskan', 'pertahankan', 'tingkatkan']",5,positive
keren menyala bni q ayok transaksi pakai wondr bni bannyak untungnya,"['keren', 'menyala', 'bni', 'q', 'ayok', 'transaksi', 'pakai', 'wondr', 'bni', 'bannyak', 'untungnya']",5,positive
sangat mudah penggunaannya,"['mudah', 'penggunaannya']",5,positive
aplikasinya mudah digunakan mudah dipahami dan praktis banget jaman sekarang gausah ribet kebanyakan aplikasi pake ini aja udah bisa buat semua kebutuhan dan pasti aman,"['aplikasinya', 'mudah', 'mudah', 'dipahami', 'praktis', 'banget', 'jaman', 'gausah', 'ribet', 'kebanyakan', 'aplikasi', 'pake', 'udah', 'kebutuhan', 'aman']",5,positive
kenapa bni harus membuat aplikasi baru jadi harus aplikasi bikin ribet saya kadang lupa passwordnya mana yang bni mobile mana yang wondr tolong salah satu saja yang ditingkatkan biar g kebanyakan aplikasinya terima kasih bni sudah banyak membantu kami,"['bni', 'aplikasi', 'aplikasi', 'bikin', 'ribet', 'kadang', 'lupa', 'passwordnya', 'bni', 'mobile', 'wondr', 'tolong', 'salah', 'ditingkatkan', 'biar', 'kebanyakan', 'aplikasinya', 'terima', 'kasih', 'bni', 'membantu']",5,positive
masih bagusan aplikasi yg lama aplikas yg terbaru tidak tampil rincian saldo masuk sisa dan yg di keluarkan itu aja sihh,"['bagusan', 'aplikasi', 'aplikas', 'terbaru', 'tampil', 'rincian', 'saldo', 'masuk', 'sisa', 'keluarkan', 'sihh']",2,negative
ok aplikasi wondry mantap cepet proses ya pangpang di gunakan aman buat kita,"['aplikasi', 'wondry', 'mantap', 'cepet', 'proses', 'pangpang', 'aman']",5,positive
bintang dulu untuk login kadang selalu gangguan apalgi untuk transfer padahal jaringan dan sinyal sangat bangus untung saya masih pakai bni mobile bangking lama jadi masih bisa transaksi semoga segera dieprbaiki lagi aplikasinya trm,"['bintang', 'login', 'kadang', 'gangguan', 'apalgi', 'transfer', 'jaringan', 'sinyal', 'bangus', 'untung', 'pakai', 'bni', 'mobile', 'bangking', 'transaksi', 'semoga', 'dieprbaiki', 'aplikasinya', 'trm']",3,neutral
tampilan keren mudah di gunakan tapi sayang fiturnya kurang lengkap tidak selengkap bni mobile,"['tampilan', 'keren', 'mudah', 'sayang', 'fiturnya', 'lengkap', 'selengkap', 'bni', 'mobile']",3,neutral
ribed pakai bni mau tarik saja harus pakai notip sms dulu belum lagi sales asuransi nya makasa sekali tawarkan asuransi padahal sudah saya tolak tapi sifat nya sangat memaksa sekali,"['ribed', 'pakai', 'bni', 'tarik', 'pakai', 'notip', 'sms', 'sales', 'asuransi', 'makasa', 'tawarkan', 'asuransi', 'tolak', 'sifat', 'memaksa']",1,negative
aplikasi yang ringkas dan keren tampilan nya modern dan cerah maju terus bni,"['aplikasi', 'ringkas', 'keren', 'tampilan', 'modern', 'cerah', 'maju', 'bni']",5,positive
ini saya transfer dari bni ke bca dari semalem sampe pagi ini sampe sekarang saldonya belom masuk dan saldo di bni sudah berkurang statusnya berhasil untuk nama penerima dan nomor rekeningnya sudah sesuai bisa dibantu perihal ini kah team pengembang bni saya sudah chat via wa dan email responnya terlalu lama tidak fast respon seperti cs bank lain tolong diperbaiki masalah kayak gini agar kedepannya tidak terulang kembali dan diperbaiki sistem penanganannya,"['transfer', 'bni', 'bca', 'semalem', 'sampe', 'pagi', 'sampe', 'saldonya', 'belom', 'masuk', 'saldo', 'bni', 'berkurang', 'statusnya', 'berhasil', 'nama', 'penerima', 'nomor', 'rekeningnya', 'sesuai', 'dibantu', 'perihal', 'kah', 'team', 'pengembang', 'bni', 'chat', 'via', 'wa', 'email', 'responnya', 'fast', 'respon', 'cs', 'bank', 'tolong', 'diperbaiki', 'kayak', 'gini', 'kedepannya', 'terulang', 'diperbaiki', 'sistem', 'penanganannya']",2,negative
saat melakukan pembayaran qris tertera belum berhasil saat buka email tertulis kalau saldo di kembalikantp kenyataan saldo tetap berkurang,"['pembayaran', 'qris', 'tertera', 'berhasil', 'buka', 'email', 'tertulis', 'saldo', 'kembalikantp', 'kenyataan', 'saldo', 'berkurang']",3,neutral
masuk ke menunya ribet verifikasi terus mohon dibantu supaya aplikasi bisa digunakan dengan cepat dan simpel,"['masuk', 'menunya', 'ribet', 'verifikasi', 'mohon', 'dibantu', 'aplikasi', 'cepat', 'simpel']",1,negative
sangat bagus dan membantu kami pengguna rekening bank bni,"['bagus', 'membantu', 'pengguna', 'rekening', 'bank', 'bni']",5,positive
bagus gak ribet,"['bagus', 'gak', 'ribet']",5,positive
isi ulang pulsa transaksi nya gagal katanya tpi cek mutasi saldo kita kepotong untuk transaksi isi ulang pulsa itu bikin laporan katanya nunggu hari kerja lelet amat ga sih sampai harus menunggu hari kerja ada aja nih bni skrg untung nya wonder bikin hidup ribet,"['isi', 'ulang', 'pulsa', 'transaksi', 'gagal', 'cek', 'mutasi', 'saldo', 'kepotong', 'transaksi', 'isi', 'ulang', 'pulsa', 'bikin', 'laporan', 'nunggu', 'kerja', 'lelet', 'sih', 'menunggu', 'kerja', 'nih', 'bni', 'skrg', 'untung', 'wonder', 'bikin', 'hidup', 'ribet']",1,negative
