content,stemmed,score,category
fitur sudah bagus dan mtab hanya tinggal fitur tarik tunai tanpa kartu yg belum ada,"['fitur', 'bagus', 'mtab', 'tinggal', 'fitur', 'tarik', 'tunai', 'kartu']",5,positive
sangat memudahkan segala urusan perbankan,"['mudah', 'urus', 'perban']",5,positive
lebih menarik dan mudah penggunaannya,"['tarik', 'mudah', 'guna']",5,positive
kak kenapa yaa wonder ku tiap dibuka tulisan sesi sudah kamu berakhir mau login ga bisa karena tiap dibuka langsung seperti itu sudah di uninstal lalu di instal ulang ttp begitu padahal sudah verivikasi ulang dan otp ulang,"['kak', 'yaa', 'wonder', 'ku', 'buka', 'tulis', 'sesi', 'login', 'buka', 'langsung', 'uninstal', 'instal', 'ulang', 'verivikasi', 'ulang', 'otp', 'ulang']",5,positive
sejauh ini msh aman krn msh transaksi yg ringan cuma sy lihat lbh byk fiturnya bni mobile d wondr by bni ini msh byk fitur nya yg kurang sy smpe skrg g dpt mpn pembayaran penerimaan negara yg biasanya kita pakai saat pembayrn pendaftar dan perpanjangan pasport d kantor imigrasi dll pdhl yg bni mobile ada lengkap dan g ribet mhn segera diperbaiki wondr by bni ini klo mmg ke depanx akan dialihkan dri bni mobile hrsx aplikasi yg ini lbh mantap dri bni mobile ini kok malah sebaliknya ya,"['msh', 'aman', 'krn', 'msh', 'transaksi', 'ringan', 'lihat', 'lbh', 'byk', 'fiturnya', 'bni', 'mobile', 'wondr', 'by', 'bni', 'msh', 'byk', 'fitur', 'smpe', 'skrg', 'dpt', 'mpn', 'bayar', 'terima', 'negara', 'pakai', 'pembayrn', 'daftar', 'panjang', 'pasport', 'kantor', 'imigrasi', 'dll', 'pdhl', 'bni', 'mobile', 'lengkap', 'ribet', 'mhn', 'baik', 'wondr', 'by', 'bni', 'mmg', 'depanx', 'alih', 'dri', 'bni', 'mobile', 'hrsx', 'aplikasi', 'lbh', 'mantap', 'dri', 'bni', 'mobile']",1,negative
bagus cuma agak lelet,"['bagus', 'lelet']",4,positive
sering eror mau transaksi di jam ke atas selalu gagal kalau buka refrensi dari perusahaan gue males bener make bni,"['eror', 'transaksi', 'jam', 'gagal', 'buka', 'refrensi', 'usaha', 'gue', 'males', 'bener', 'make', 'bni']",3,neutral
mau login susah bener slh paswrd mnt registrasiulang tp pas verifikasi wjh gagal mulu jd gk bs terus riet bgt ini apliksi,"['login', 'susah', 'bener', 'slh', 'paswrd', 'mnt', 'registrasiulang', 'verifikasi', 'wjh', 'gagal', 'mulu', 'bs', 'riet', 'apliksi']",1,negative
aplikasi sangat lemot,"['aplikasi', 'lot']",1,negative
gak bisa verifikasi email saya gimana cara saya makai aplikasinya min udah jam saya nyobain verifikasi email katanya bisa di pakai sampai saya confirm code di bilang salah di suruh login email dan minta kode lagi sampai kapan mutar gini terus,"['gak', 'verifikasi', 'email', 'gimana', 'maka', 'aplikasi', 'min', 'udah', 'jam', 'nyobain', 'verifikasi', 'email', 'pakai', 'confirm', 'code', 'bilang', 'salah', 'suruh', 'login', 'email', 'kode', 'mutar', 'gin']",2,negative
baru banget perbarui aplikasi hari ini eehh susah banget mau login bahkan tidak bisa login lelet mau transkasi jadi terhambat tolong donk sekelas bni kok begini aplikasinya,"['banget', 'baru', 'aplikasi', 'eehh', 'susah', 'banget', 'login', 'login', 'lelet', 'transkasi', 'hambat', 'tolong', 'donk', 'kelas', 'bni', 'aplikasi']",3,neutral
lagi bermasalah kah aplikasi wondr nyatolong segera di selesaikan permasalahan nyaagar kami bisa pergunakan aplikasi ini lagi,"['masalah', 'kah', 'aplikasi', 'wondr', 'nyatolong', 'selesai', 'masalah', 'nyaagar', 'guna', 'aplikasi']",4,positive
aplikasi yang rumit selalu melakukan kesalahan berulang saat scan wajah maupun memasukan kode otp saya juga kurang tau mengapa ini dapat terjadi padahal jaringan saya baik,"['aplikasi', 'rumit', 'salah', 'ulang', 'scan', 'wajah', 'pasu', 'kode', 'otp', 'tau', 'jaring']",2,negative
cepat mudah dan aman pakai hp jadul masih gercep terimakasih,"['cepat', 'mudah', 'aman', 'pakai', 'hp', 'jadul', 'gercep', 'terimakasih']",5,positive
sangat memuaskan,['muas'],5,positive
lebih lengkap yg lama bisa cek transaksi keluar masuk serta saldonya dan bisa di download smoga bs jd pertimbangan bni,"['lengkap', 'cek', 'transaksi', 'masuk', 'saldo', 'download', 'smoga', 'bs', 'timbang', 'bni']",3,neutral
sangat puas menggunakan wondr,"['puas', 'wondr']",5,positive
saya isi pulsa x notifnya pembelian pulsa gagal tapi saldo sy hangus dn gk ada refund sama skali aplikasi ini perlu banyak perbaikan bni mobile banking sblumnya gk ada masalah sama skali,"['isi', 'pulsa', 'x', 'notifnya', 'beli', 'pulsa', 'gagal', 'saldo', 'hangus', 'refund', 'skali', 'aplikasi', 'baik', 'bni', 'mobile', 'banking', 'sblumnya', 'skali']",3,neutral
bagus si sebenarmya cmn mau nanya maksimal saldo yg harus tersisa di wonder brapa ya soalnya saldoku maso banyak gabisa transaksi karna saldo ga ckup padahal biasanya bisa aja,"['bagus', 'sebenarmya', 'cmn', 'nanya', 'maksimal', 'saldo', 'sisa', 'wonder', 'brapa', 'saldo', 'maso', 'gabisa', 'transaksi', 'karna', 'saldo', 'ckup']",3,neutral
lancar nyaman dipakai,"['lancar', 'nyaman', 'pakai']",5,positive
tolong perbaiki sistem verifikasi nyasudah mau lepas ini mata berkedip tapi dibiling tdk ter bacasudah mengikuti semua prosedurnya tapi tetap tidak terbacaemang sistemnya aja yg kurang bagus,"['tolong', 'baik', 'sistem', 'verifikasi', 'nyasudah', 'lepas', 'mata', 'kedip', 'dibiling', 'ter', 'bacasudah', 'ikut', 'prosedur', 'terbacaemang', 'sistem', 'bagus']",1,negative
tiba ditutup dan suruh kekantor cabang klo tidak bisa selesaikan masalah via online buat apa bikin aplikasi,"['tutup', 'suruh', 'kantor', 'cabang', 'selesai', 'via', 'online', 'bikin', 'aplikasi']",1,negative
cara untuk menghapus bukti transfer uang masuk sama kita gimama fiturnya kalau di wondr by bni,"['hapus', 'bukti', 'transfer', 'uang', 'masuk', 'gimama', 'fiturnya', 'wondr', 'by', 'bni']",3,neutral
apk terbaru dari bni yg satu ini bikin apotek tutupaktivasi mudah bgttransaksi apapun gampang bgtpaling enak bgt pake qrisnya dehbelanja apa aja lebih mudah,"['apk', 'baru', 'bni', 'bikin', 'apotek', 'tutupaktivasi', 'mudah', 'bgttransaksi', 'apa', 'gampang', 'bgtpaling', 'enak', 'pake', 'qrisnya', 'dehbelanja', 'mudah']",5,positive
halo ka saya sudah log in dan harus verifikasi kode otp lewat email dikirimnya lama sekali sewaktu sudah dikirim kode otp nya malah tidak valid pdhl kode yg dikirimkan memiliki batas waktu valid menit kode yg saya masukkan ke wondr juga sudah benar hal tersebut membuat saya tidak bisa log in dan harus mengulangi nya lagi kembali besok mohon pencerahannya ya kenapa bisa begitu terimakasih,"['halo', 'log', 'in', 'verifikasi', 'kode', 'otp', 'email', 'kirim', 'kirim', 'kode', 'otp', 'valid', 'pdhl', 'kode', 'kirim', 'milik', 'batas', 'valid', 'menit', 'kode', 'masuk', 'wondr', 'log', 'in', 'ulang', 'besok', 'mohon', 'cerah', 'terimakasih']",3,neutral
tiap mau masuk aplikasi lama alias lemoot,"['masuk', 'aplikasi', 'alias', 'lemoot']",3,neutral
tolonglah kerjasamanya kenapa setelah mau buka aplikasi mbangking g bisa di buka padahal dah update teruss,"['tolong', 'kerjasamanya', 'buka', 'aplikasi', 'mbangking', 'buka', 'dah', 'update', 'teruss']",3,neutral
kecewa bngt dari awal udah lemot sering gangguandan sekang keluar sendiri dan harus ngurus ke cabangbuang waktu saya,"['kecewa', 'udah', 'lot', 'gangguandan', 'sekang', 'ngurus', 'cabangbuang']",1,negative
nice minus cuma belum bisa tarik cardless,"['nice', 'minus', 'tarik', 'cardless']",4,positive
disuruh pabrik untuk ganti ke wonder katanya apk bnimobile bangking mau di hps tpi kenapa tidak ada fitur tarik tunai tanpa kartu dan masih ada kekurangan lainnya tolong dong ini perbaiki,"['suruh', 'pabrik', 'ganti', 'wonder', 'apk', 'bnimobile', 'bangking', 'hps', 'fitur', 'tarik', 'tunai', 'kartu', 'kurang', 'tolong', 'baik']",3,neutral
aplikasi paling tololl bobrok verifikasi wajah selalu gagal aplikasi gk mutu sdh verifikasi berulang masih saja gk bisa aplikasi taik bukan nya tambah bagus pelayanan bni malah tambah bobrok,"['aplikasi', 'tololl', 'bobrok', 'verifikasi', 'wajah', 'gagal', 'aplikasi', 'mutu', 'sdh', 'verifikasi', 'ulang', 'aplikasi', 'taik', 'bagus', 'layan', 'bni', 'bobrok']",1,negative
kenapa tiap mau transaksi harus mulai dri awal kek verifikasi ini itu kan jadi gak bisa klo buat yg urgent bikin was klo mau save uang takut pas di butuhkan malah gak bisa ke pake app nya,"['transaksi', 'dri', 'kek', 'verifikasi', 'gak', 'urgent', 'bikin', 'was', 'save', 'uang', 'takut', 'butuh', 'gak', 'pake', 'app']",2,negative
semoga disetiap transaksi ada bonus saldo,"['moga', 'tiap', 'transaksi', 'bonus', 'saldo']",5,positive
sebenarnya sangat bagus terkesan lebih legan cuman masih belum stabil masih ada bug,"['bagus', 'kes', 'legan', 'cuman', 'stabil', 'bug']",5,positive
sejak ada aplikasi ini saya jadi ga pernah lagi isi token dari bni ribet harus install app lagi pokoknya lebih enak bni mobile bangking aja untuk semua transaksi ah payah lah,"['aplikasi', 'isi', 'token', 'bni', 'ribet', 'install', 'app', 'pokok', 'enak', 'bni', 'mobile', 'bangking', 'transaksi', 'ah', 'payah']",1,negative
deteksi wajah juga kewalahan selalu gagal verifikasi wajah sekalinya berhasil disuruh ke cabang terdekat heran perasaan kyc di apk lain sat set,"['deteksi', 'wajah', 'kewalahan', 'gagal', 'verifikasi', 'wajah', 'sekali', 'hasil', 'suruh', 'cabang', 'dekat', 'heran', 'asa', 'kyc', 'apk', 'sat', 'set']",1,negative
saya daftar hari gak bisa ada keterangan proses biasanya gak lebih dari mnit kalau lebih lama unistal aja aplikasinya,"['daftar', 'gak', 'terang', 'proses', 'gak', 'mnit', 'unistal', 'aplikasi']",1,negative
sangat mudah dan membantu dalam melakukan pembayaran,"['mudah', 'bantu', 'bayar']",5,positive
fastquick penggunaanya sangat mudah kemarin coba bayar pln di wondr cepet banget beda sama bank sebelah,"['fastquick', 'penggunaanya', 'mudah', 'kemarin', 'coba', 'bayar', 'pln', 'wondr', 'cepet', 'banget', 'beda', 'bank', 'belah']",5,positive
saat mau scan code qr lewat foto di album lewat qris kok aplikasi force close apakah masih ada bug,"['scan', 'code', 'qr', 'foto', 'album', 'qris', 'aplikasi', 'force', 'close', 'bug']",4,positive
kadang susah akses nya,"['kadang', 'susah', 'akses']",3,neutral
aplikasi mudah dan cepat,"['aplikasi', 'mudah', 'cepat']",5,positive
diaplikasi wondr ini terkadang transfer menggunakan bi fast tidak bisa ke rekening tertentu sedangkan di aplikasi bni mobile banking bisa transfer bi fast ke semua rekening tolong untuk di perbaiki lagi,"['aplikasi', 'wondr', 'terkadang', 'transfer', 'bi', 'fast', 'rekening', 'aplikasi', 'bni', 'mobile', 'banking', 'transfer', 'bi', 'fast', 'rekening', 'tolong', 'baik']",3,neutral
masukan penting notif keluar selalu ada tapi notif uang masuk selalu sangat telat dan bahkan kadang tidak ada sebagai pelaku bisnis ini sangat tidak nyaman karna pelanggan transfer dp tidak ada notif nya dan di histori juga saldo masuk tidak ada kemudahan juga masih mudah di bank sebelah tentang beli pulsa dan token listrik semoga lebih di tingkatkan lagi kedepan nya agar pelanggan tetep betah pakai,"['masuk', 'notif', 'notif', 'uang', 'masuk', 'telat', 'kadang', 'laku', 'bisnis', 'nyaman', 'karna', 'langgan', 'transfer', 'dp', 'notif', 'histori', 'saldo', 'masuk', 'mudah', 'mudah', 'bank', 'belah', 'beli', 'pulsa', 'token', 'listrik', 'moga', 'tingkat', 'depan', 'langgan', 'tetep', 'betah', 'pakai']",3,neutral
aplikasi jelek sering gagal dan saldo terpotong harus hub cust service lagi,"['aplikasi', 'jelek', 'gagal', 'saldo', 'potong', 'hub', 'cust', 'service']",1,negative
aflikasi apaan mau verifikasi wajah aja sulitnya minta ampun pinjol aja gak gini amat udah tempat terang wajah lurus masih aja gak kebaca,"['aflikasi', 'verifikasi', 'wajah', 'sulit', 'ampun', 'pinjol', 'gak', 'gin', 'udah', 'terang', 'wajah', 'lurus', 'gak', 'baca']",1,negative
lemot aplikasinya pas kita butuh eror g bs dibukag membantu sm skli aplikasi inisuper duper lemottdk bs diajak kerja sama jika kita membutuhkan mau dibutuhkan g bs dibuka hem,"['lot', 'aplikasi', 'butuh', 'eror', 'bs', 'dibukag', 'bantu', 'sm', 'skli', 'aplikasi', 'inisuper', 'duper', 'lemottdk', 'bs', 'ajak', 'kerja', 'butuh', 'butuh', 'bs', 'buka', 'hem']",1,negative
aplikasi nya mudah di mengerti,"['aplikasi', 'mudah', 'erti']",5,positive
aplikasi bagus banget anti ribet hebatnya bisa benerin kartu atm yang ke blok lewat aplikasi ini makin canggih aja,"['aplikasi', 'bagus', 'banget', 'anti', 'ribet', 'hebat', 'benerin', 'kartu', 'atm', 'blok', 'aplikasi', 'canggih']",5,positive
untuk tf ke luar negri negara arab saudi tidak ada hanya bberapa negara saja yang tersedia mohon untuk di tmbh negara penerima,"['tf', 'negri', 'negara', 'arab', 'saudi', 'bberapa', 'negara', 'sedia', 'mohon', 'tmbh', 'negara', 'terima']",2,negative
sebaiknya menu cek mutasi rekening tetap disediakan spt di aplikasi bni mbanking tidak hanya catatan pemasukan dan pengeluaran yang terlihat di aplikasi agar pencatatan dan penghitungan sisa saldo before dan after transaksi tetap bisa dimonitor oleh nasabah secara detil untuk menghindari risiko kesalahan oleh bank kemudian tetap diizinkan fitur screenshot untuk keperluan evidence pembayaran tagihan pribadi kantor maupun kebutuhan lainnya di menu transfer ewallet tapcash dll,"['menu', 'cek', 'mutasi', 'rekening', 'sedia', 'aplikasi', 'bni', 'mbanking', 'catat', 'pasu', 'keluar', 'aplikasi', 'catat', 'hitung', 'sisa', 'saldo', 'before', 'after', 'transaksi', 'monitor', 'nasabah', 'detil', 'hindar', 'risiko', 'salah', 'bank', 'izin', 'fitur', 'screenshot', 'perlu', 'evidence', 'bayar', 'tagih', 'pribadi', 'kantor', 'butuh', 'menu', 'transfer', 'ewallet', 'tapcash', 'dll']",3,neutral
aplikasi yang sangat membantu tampilan ui simpel menunya mudah aplikasinya ringan,"['aplikasi', 'bantu', 'tampil', 'ui', 'simpel', 'menu', 'mudah', 'aplikasi', 'ringan']",5,positive
baguss simpel gak ribet,"['baguss', 'simpel', 'gak', 'ribet']",5,positive
selama aku pakai apk ini ga ada kendala sih transfer mudah trus biaya admin juga ga mahal banget yang aku suka dari aplikasi nya yaitu bisa ngatur uangkebutuhan sehari,"['pakai', 'apk', 'kendala', 'sih', 'transfer', 'mudah', 'trus', 'biaya', 'admin', 'mahal', 'banget', 'suka', 'aplikasi', 'ngatur', 'uangkebutuhan', 'hari']",5,positive
sering terjadi bug pada saat bayar atau transfer,"['bug', 'bayar', 'transfer']",1,negative
kepencet uninstal ssh di donwload lgi,"['pencet', 'uninstal', 'ssh', 'donwload']",1,negative
sudah di set limit transaksi bi fastnya dan sudah terlihat sisa limit yang masih bisa ditransaksikan melalui bi fast tapi setelah dicoba transfer dengan nilai dibawah limit sisanyavtetap saja transfer belum berhasil,"['set', 'limit', 'transaksi', 'bi', 'fastnya', 'sisa', 'limit', 'transaksi', 'bi', 'fast', 'coba', 'transfer', 'nilai', 'bawah', 'limit', 'sisanyavtetap', 'transfer', 'hasil']",2,negative
bgus cman pasword ga bisa di save,"['bgus', 'cman', 'pasword', 'save']",3,neutral
the best pokoknya bikin tabungan bank pertama kali dan terakhir kali seumur hidup kalo bisa disini,"['the', 'best', 'pokok', 'bikin', 'tabung', 'bank', 'kali', 'kali', 'umur', 'hidup', 'kalo']",5,positive
pengoperasian mudahfitur bnyk,"['operasi', 'mudahfitur', 'bnyk']",5,positive
kenapa kalo mau tf lewat ewallet nya selalu gagal tiap hari gituu tolong di perbaiki jadi susah ini kalo mau ngapa in,"['kalo', 'tf', 'ewallet', 'gagal', 'gituu', 'tolong', 'baik', 'susah', 'kalo', 'ngapa', 'in']",3,neutral
verifikasi pin nya gagal mohon arahannyaterimakasih kasih,"['verifikasi', 'pin', 'gagal', 'mohon', 'arahannyaterimakasih', 'kasih']",3,neutral
ini buka aplikasinya selalu ada kendala gak bisa buat emergency lama pula buka aplikasinya padahal kouta ok menyesal buka ini aplikasi,"['buka', 'aplikasi', 'kendala', 'gak', 'emergency', 'buka', 'aplikasi', 'kouta', 'sesal', 'buka', 'aplikasi']",1,negative
mau bikin akun tidak bisa terus di bagian verifikasi wajah hanya ada tulisan coba lagi besok padahal sudah menunggu hari ini bagaimana ya,"['bikin', 'akun', 'verifikasi', 'wajah', 'tulis', 'coba', 'besok', 'tunggu']",3,neutral
gak bisa digunakan percuma dikasih saldo tapi di pindah dana gak bisa alesanya sado di aplikasi kurang masalah akun shopeepay lagi di perbaiki saran jangan di pakek,"['gak', 'kasih', 'saldo', 'pindah', 'dana', 'gak', 'alesanya', 'sado', 'aplikasi', 'akun', 'shopeepay', 'baik', 'saran', 'pakek']",1,negative
belum ada menu tarik tunai setor tunai non kartu lewat aplikasi bni mobil yang lama juga sudah di non aktifkan harusnya jangan release dulu kalo belum final pelanggan jadi susah min,"['menu', 'tarik', 'tunai', 'setor', 'tunai', 'non', 'kartu', 'aplikasi', 'bni', 'mobil', 'non', 'aktif', 'release', 'kalo', 'final', 'langgan', 'susah', 'min']",4,positive
history keterangan transaksinya kurang jelas tidak seperti bni mbanking jelas dengan keterangannya selebihnya bagus sih semoga cepet di kembangkan biar mempermudah melihat riwayat transaksinya ku naikan bintang nya terimakasih sudah merespon detail transaksi nya ayo dong di perjelas seperti bni mobil banking,"['history', 'terang', 'transaksi', 'bni', 'mbanking', 'terang', 'lebih', 'bagus', 'sih', 'moga', 'cepet', 'kembang', 'biar', 'mudah', 'riwayat', 'transaksi', 'ku', 'naik', 'bintang', 'terimakasih', 'merespon', 'detail', 'transaksi', 'ayo', 'jelas', 'bni', 'mobil', 'banking']",3,neutral
sangat membantu,['bantu'],5,positive
lebih enk pakai aplikasi bni untuk aplikasi wondr tolong dilengkapi dengan fitur tarik tunai dan setor tunai karena itu sangat dibutuhkan untuk transaksi tanpa kartu,"['enk', 'pakai', 'aplikasi', 'bni', 'aplikasi', 'wondr', 'tolong', 'lengkap', 'fitur', 'tarik', 'tunai', 'setor', 'tunai', 'butuh', 'transaksi', 'kartu']",3,neutral
seharusnya lebih mudah yatapi karena harus update data pribadi jadi harus ke kantor bni sayang sekaliaku kira tu semudah daftar bank online gitu ternyata enggak,"['mudah', 'yatapi', 'update', 'data', 'pribadi', 'kantor', 'bni', 'sayang', 'sekaliaku', 'tu', 'mudah', 'daftar', 'bank', 'online', 'gitu']",3,neutral
saya kurang suka dg apk y tidak mmuaskan lbh nyaman pake bni mobile sudah benar password loginnya giliran mau tf salah pin y udh diganti pin nya mau login ulang mlah salahpdhl udh jelas benermembagongkan,"['suka', 'apk', 'y', 'mmuaskan', 'lbh', 'nyaman', 'pake', 'bni', 'mobile', 'password', 'loginnya', 'gilir', 'tf', 'salah', 'pin', 'y', 'udh', 'ganti', 'pin', 'login', 'ulang', 'mlah', 'salahpdhl', 'udh', 'benermembagongkan']",3,neutral
keren luar biasapermudahakan belanja,"['keren', 'biasapermudahakan', 'belanja']",5,positive
ini cara hubungi cs gmna telfon bni habisin pulsa banyak gak ada jawaban saya punya transaksi virtual acount gagal saldo sudah terpotong,"['hubung', 'cs', 'gmna', 'telfon', 'bni', 'habisin', 'pulsa', 'gak', 'transaksi', 'virtual', 'acount', 'gagal', 'saldo', 'potong']",3,neutral
masih enak pakai bni mobile banking lebih simpel dan gampang penggunaannya yang wondr agak ribet menunya,"['enak', 'pakai', 'bni', 'mobile', 'banking', 'simpel', 'gampang', 'guna', 'wondr', 'ribet', 'menu']",2,negative
wondr by bni aplikasi keuangan yg keren simple mudah digunakan yang pasti banyak promonya love buat bni,"['wondr', 'by', 'bni', 'aplikasi', 'uang', 'keren', 'simple', 'mudah', 'promonya', 'love', 'bni']",5,positive
beralih dr mobile banking ke wondr tapi kok wondr malah makin sulit ya buat transaksi d atas jam mlm padahal fitur ny dah bagus sangat d sygkn pas transaksi gagal trus padahal biasa ny juga paling g bisa transaksi tu jam pagi ne masih blm masuk jam masa iya harus pindah lagi ke mobile banking lagi sich,"['alih', 'mobile', 'banking', 'wondr', 'wondr', 'sulit', 'transaksi', 'jam', 'mlm', 'fitur', 'dah', 'bagus', 'sygkn', 'transaksi', 'gagal', 'trus', 'transaksi', 'tu', 'jam', 'pagi', 'ne', 'blm', 'masuk', 'jam', 'iya', 'pindah', 'mobile', 'banking', 'sich']",1,negative
lelet banget stres makainyabahkan kadang gak bisa di buka sama sekalitolong di periksa lagi biar bisa semakin bagus,"['lelet', 'banget', 'stres', 'makainyabahkan', 'kadang', 'gak', 'buka', 'sekalitolong', 'periksa', 'biar', 'bagus']",3,neutral
aplikasi sudah bagus tapi buat login agak nya ribet kalo salah pw harus masukin data lengkap kek pendaftaran akun baru tolong sediakan fitur login dan daftar secara terpisah,"['aplikasi', 'bagus', 'login', 'ribet', 'kalo', 'salah', 'pw', 'masukin', 'data', 'lengkap', 'kek', 'daftar', 'akun', 'tolong', 'sedia', 'fitur', 'login', 'daftar', 'pisah']",3,neutral
sangat lancar dan cepat prosesnya,"['lancar', 'cepat', 'proses']",5,positive
masih sama kayak mbankingnya otp gak masuk ke no gak tau ke no lain padahal ngarepnya sistem otp bisa lebih baik di app ini biar bisa tarik tunai tanpa kartu,"['kayak', 'mbankingnya', 'otp', 'gak', 'masuk', 'no', 'gak', 'tau', 'no', 'ngarepnya', 'sistem', 'otp', 'app', 'biar', 'tarik', 'tunai', 'kartu']",3,neutral
bayar pakek qris di word cepet bangetkemarin bayar makan dimasakan padang cuma butuh scant langsung selesai pokonya paket qris cepet dan mudahmakasih bni sudah ngasih aplikasi semudah ini tuk transaksi,"['bayar', 'pakek', 'qris', 'word', 'cepet', 'bangetkemarin', 'bayar', 'makan', 'masa', 'padang', 'butuh', 'scant', 'langsung', 'selesai', 'poko', 'paket', 'qris', 'cepet', 'mudahmakasih', 'bni', 'ngasih', 'aplikasi', 'mudah', 'tuk', 'transaksi']",5,positive
untuk versi poco f setelah proses ttd langsung keluar ke menu utama dan mengulang proses dr tengah lagi,"['versi', 'poco', 'f', 'proses', 'ttd', 'langsung', 'menu', 'utama', 'ulang', 'proses']",3,neutral
aplikasi ini sangat membantu disaat pin atm keblokir tanpa harus qta kebank cukup qta bikin pin baru aja lewat wondr atm udah bisa digunakan lagi,"['aplikasi', 'bantu', 'saat', 'pin', 'atm', 'blokir', 'qta', 'bank', 'qta', 'bikin', 'pin', 'wondr', 'atm', 'udah']",5,positive
sering kali terkendala pada limit transaksi,"['kali', 'kendala', 'limit', 'transaksi']",4,positive
keren semua lengkap serba bisa dan anti ribet,"['keren', 'lengkap', 'serba', 'anti', 'ribet']",5,positive
supaya menjadi super apk perlu ditambahkan lagi fitur penarikan uang tunai tanpa kartu atm untuk fitur lainnya sudah bagus,"['super', 'apk', 'fitur', 'tari', 'uang', 'tunai', 'kartu', 'atm', 'fitur', 'bagus']",5,positive
log in nya lama menu nya jg jdi agak ssh d akses dan agak ribet lebih enak pake mobile banking nya tp kta orang bnk mobile bnking nya akan take down,"['log', 'in', 'menu', 'ssh', 'akses', 'ribet', 'enak', 'pake', 'mobile', 'banking', 'kta', 'orang', 'bnk', 'mobile', 'bnking', 'take', 'down']",2,negative
tolong di bantu penjelasan nysaya sudah verifikasi data dan wajah untuk wonder bni saya sendiridan keluar berulang kalidan start di registrasi awal lagisedangkan wonder saya sebelumnya sudah aktif,"['tolong', 'bantu', 'jelas', 'nysaya', 'verifikasi', 'data', 'wajah', 'wonder', 'bni', 'sendiridan', 'ulang', 'kalidan', 'start', 'registrasi', 'lagisedangkan', 'wonder', 'aktif']",3,neutral
apknya bagus tapi aku mau tanya kenapa uang saya sekian ribu jadi habis apakah wondr ini mengambil uang nasabah atau bagaimana karna saya lihat uang saya jadi sekian ribu tolong dijelaskan sekian,"['apknya', 'bagus', 'uang', 'sekian', 'ribu', 'habis', 'wondr', 'ambil', 'uang', 'nasabah', 'karna', 'lihat', 'uang', 'sekian', 'ribu', 'tolong', 'sekian']",3,neutral
aplikasi baru namun tidak semakin baik bbrapa x transaksi pembelian pulsa namun status gagal tp saldo tidak otomatis kembali alias hilang lenyap enth kemana pdhl di aplikasi sebelum nya bila transaksi gagal pulsa auto kembali max jam,"['aplikasi', 'bbrapa', 'x', 'transaksi', 'beli', 'pulsa', 'status', 'gagal', 'saldo', 'otomatis', 'alias', 'hilang', 'lenyap', 'enth', 'mana', 'pdhl', 'aplikasi', 'transaksi', 'gagal', 'pulsa', 'auto', 'max', 'jam']",1,negative
bintang karena peraturan ya dan aplikasi makin susah,"['bintang', 'atur', 'aplikasi', 'susah']",3,neutral
aplikasi sering errortidak bisa dibuka sudah install ulang tetap saja error padahal mau terburu transaksi,"['aplikasi', 'errortidak', 'buka', 'install', 'ulang', 'error', 'buru', 'transaksi']",1,negative
login akhir ni susah x padahal sinyal bagus,"['login', 'susah', 'x', 'sinyal', 'bagus']",3,neutral
cepat dan praktis di setiap waktu,"['cepat', 'praktis']",5,positive
tidak bisa melakukan transaksi pembayaran pdamselalu errorpdhal d bank lain bisa,"['transaksi', 'bayar', 'pdamselalu', 'errorpdhal', 'bank']",3,neutral
aplikasi transaksi tanpa kartunya tolong lah di buat agar mempermudah tarik tunai tanpa kartu atm,"['aplikasi', 'transaksi', 'kartu', 'tolong', 'mudah', 'tarik', 'tunai', 'kartu', 'atm']",3,neutral
sangat membantu proses bagus dan lancar,"['bantu', 'proses', 'bagus', 'lancar']",5,positive
cepat mudah untuk transaksi fitur smga kedepannya lebih lengkap,"['cepat', 'mudah', 'transaksi', 'fitur', 'smga', 'depan', 'lengkap']",5,positive
sangat keren dan sangat mudah,"['keren', 'mudah']",5,positive
kalo gak mampu bikin aplikasi mending gak usah bukan nya mempermudah malah nyusahin tiap kali tf via virtual account selalu gagal tf pake barcode pake gagal untuk apa bikin aplikasi kalo ujung ujung nya transaksi di atm,"['kalo', 'gak', 'bikin', 'aplikasi', 'mending', 'gak', 'mudah', 'nyusahin', 'kali', 'tf', 'via', 'virtual', 'account', 'gagal', 'tf', 'pake', 'barcode', 'pake', 'gagal', 'bikin', 'aplikasi', 'kalo', 'ujung', 'ujung', 'transaksi', 'atm']",1,negative
pelayanan yang sangat memuaskan cuman kendala satu tidak bisa top up dana,"['layan', 'muas', 'cuman', 'kendala', 'top', 'up', 'dana']",5,positive
suka dg aplikasi ini,"['suka', 'aplikasi']",5,positive
banyak bug masa dah top up tapi tulisannya gagal dan tidak masuk malah saldo tetap kepotong gajelas emang malah tambah ribet harus ngelapor ke bank minimal klo gagal saldo ga kepotong,"['bug', 'dah', 'top', 'up', 'tulis', 'gagal', 'masuk', 'saldo', 'potong', 'gajelas', 'emang', 'ribet', 'ngelapor', 'bank', 'minimal', 'gagal', 'saldo', 'potong']",1,negative
tolong dong ini diperbaiki aplikasinyaa kenapa gagal trus kalo login ke aplikasi,"['tolong', 'baik', 'aplikasinyaa', 'gagal', 'trus', 'kalo', 'login', 'aplikasi']",3,neutral
